6723.80308,2213.92771,5998.67962,3111.73914
6704.63630,2082.67034,5761.53100,3226.49002
6679.82648,2004.08880,5582.35104,3356.66567
6581.01236,1884.46152,5292.57283,3523.21532
6465.72611,1800.35341,4976.49414,3684.90048
6454.02606,1760.61690,4824.86714,4000.47189
6222.35729,1591.75644,4341.81011,4018.20576
5946.16984,1562.71854,4024.47296,4049.19937
5935.20087,1509.23172,3843.72561,4304.66527
5695.26467,1438.24411,3456.79677,4380.10131
5194.53638,1278.42252,2652.41663,4456.04409
4799.53450,1234.58251,2236.81894,4294.22646
