0.03125,0.03937,0.04961,0.06250,0.07875,0.09921,0.12500,0.15749,0.19843,0.25000,0.31498,0.39685,0.50000,0.62996,0.79370,1.00000,1.25992,1.58740,2.00000,2.51984,3.17480,4.00000,5.03968,6.34960,8.00000,10.07937,12.69921,16.00000
-37.36794,-29.35150,-19.74427,-14.89480,-15.82726,-18.21222,-15.81081,-13.25216,-14.36744,-15.28928,-13.62163,-14.59696,-14.71050,-14.60381,-15.44262,-18.20464,-19.45746,-16.96578,-15.14887,-12.97698,-9.15639,-7.82455,-8.55498,-13.94787,-12.91882,-11.58304,-12.75856,-20.96498
-38.66551,-30.39231,-20.73324,-15.17262,-16.14438,-18.57902,-16.38232,-14.06051,-15.08731,-15.33643,-13.94637,-15.39115,-15.35605,-14.75817,-16.49897,-18.17273,-19.89448,-18.91219,-17.15806,-15.42735,-12.37548,-10.39505,-12.03656,-16.83918,-14.27248,-14.08151,-15.62265,-23.89068
-38.51386,-31.03897,-21.11770,-14.17444,-16.34676,-18.78368,-17.39887,-14.88421,-15.48110,-15.38274,-14.69265,-15.16276,-15.23135,-15.75794,-16.87084,-19.04808,-20.43552,-19.89764,-18.04457,-17.85944,-14.56093,-12.23131,-13.72203,-17.77415,-15.20663,-15.98376,-17.33045,-25.55090
-39.08972,-31.22583,-20.58739,-13.17659,-16.23726,-19.45918,-17.75597,-14.86157,-14.44057,-16.29088,-14.90393,-15.44552,-15.71945,-15.79696,-17.14027,-18.89439,-20.42793,-20.58154,-19.88355,-20.03921,-16.69710,-14.05243,-15.76972,-20.05327,-17.48302,-17.36595,-19.54789,-27.80675
-40.54828,-30.79313,-20.39945,-14.72312,-16.59570,-18.83687,-17.59572,-15.17221,-14.52424,-16.14393,-14.80470,-15.71131,-15.20133,-15.37576,-17.31820,-19.77418,-21.06616,-20.88136,-21.70922,-20.57985,-18.40191,-15.91317,-17.11938,-20.77679,-18.94353,-19.76237,-21.35374,-29.72934
-40.55588,-29.85559,-19.83354,-15.45370,-18.23402,-19.06682,-17.19033,-15.61984,-15.13604,-15.95126,-15.61065,-16.69556,-16.25479,-16.41228,-17.31391,-19.72754,-21.30179,-21.36588,-22.30104,-21.36583,-19.88005,-17.68485,-19.50259,-21.53360,-20.10481,-20.15904,-22.92128,-31.01157
-40.12106,-29.80460,-19.24282,-13.71853,-17.92083,-19.85817,-17.11697,-14.72501,-15.27712,-16.11079,-15.30950,-15.85759,-15.69977,-16.11862,-17.30521,-20.12367,-21.03188,-22.10849,-22.15449,-24.31921,-21.97361,-20.15610,-21.84593,-24.37180,-22.23184,-22.36477,-24.95765,-33.32377
-41.31492,-31.55922,-21.25805,-15.20119,-18.58399,-19.24099,-18.45650,-15.14985,-15.17034,-15.49204,-15.44916,-15.84878,-15.63861,-16.00836,-17.98903,-20.19644,-21.60837,-22.60720,-23.75483,-23.41916,-21.62841,-21.75803,-22.27047,-24.89570,-23.53703,-25.04515,-26.48511,-35.49131
-42.79363,-34.74444,-24.29035,-16.63525,-17.74583,-19.03545,-16.92594,-15.66415,-15.86676,-15.98303,-15.37450,-16.02676,-16.00450,-16.92058,-18.29433,-20.45176,-21.80790,-22.66917,-24.69309,-25.68511,-24.14239,-21.76146,-24.34174,-25.91536,-26.35263,-26.33050,-27.82189,-36.73040
-42.32835,-33.02133,-23.48323,-16.40198,-18.97179,-18.21608,-18.35735,-14.68435,-14.86905,-16.54373,-16.17096,-16.94194,-16.42101,-16.91915,-18.55362,-20.80871,-22.52272,-23.45329,-24.13657,-24.78736,-24.87195,-24.60718,-25.00812,-28.98848,-28.31541,-28.21853,-30.21339,-38.58319
-42.72286,-32.21999,-22.51932,-16.77287,-18.22419,-20.63729,-16.85042,-14.15665,-13.92422,-15.76397,-15.75006,-16.56081,-16.29640,-16.31941,-18.31538,-20.83740,-22.46974,-23.68335,-25.94090,-26.34817,-27.63704,-26.50324,-27.67993,-31.62303,-31.83567,-33.26464,-34.84232,-43.74512
-44.12785,-34.71183,-25.81864,-19.38094,-19.59658,-20.85272,-18.40967,-15.10911,-15.08217,-17.01735,-16.84266,-18.16656,-17.37917,-18.13543,-19.79070,-21.80849,-23.08992,-25.50070,-27.16714,-28.12389,-30.29973,-28.28828,-29.73511,-34.03599,-34.62709,-36.53525,-38.27946,-46.77459
