0.03125,0.03937,0.04961,0.06250,0.07875,0.09921,0.12500,0.15749,0.19843,0.25000,0.31498,0.39685,0.50000,0.62996,0.79370,1.00000,1.25992,1.58740,2.00000,2.51984,3.17480,4.00000,5.03968,6.34960,8.00000,10.07937,12.69921,16.00000
-45.49564,-39.43879,-32.29997,-26.72552,-24.50982,-24.17165,-26.06076,-18.95770,-14.72601,-12.84034,-14.52325,-16.87575,-13.57822,-15.51415,-11.83843,-14.48306,-16.98189,-14.17570,-13.68455,-14.57513,-14.01396,-16.13504,-20.05638,-28.77534,-32.55574,-35.89774,-40.12339,-49.94889
-47.60402,-40.89157,-33.60048,-28.11690,-25.33953,-24.28789,-28.40947,-25.52564,-20.30221,-15.37995,-14.23985,-16.85485,-18.51851,-16.14506,-17.05393,-15.25696,-18.47629,-17.53695,-15.97177,-17.14277,-17.31873,-18.67991,-23.55153,-32.02510,-34.14391,-38.47904,-42.94346,-52.76043
-46.33896,-40.74771,-34.48790,-29.43386,-26.55625,-24.65625,-26.52891,-28.73968,-28.29241,-20.15723,-16.17555,-15.23688,-18.97842,-20.39536,-15.74599,-18.43699,-19.52281,-19.80227,-17.19320,-19.66484,-19.56808,-20.54027,-25.36780,-33.28565,-34.96192,-40.24449,-44.73326,-54.45940
-47.50243,-41.85283,-35.77311,-30.43520,-27.86634,-25.69343,-26.67519,-26.21112,-28.70494,-27.35030,-22.81510,-17.60130,-16.15824,-19.62803,-18.37204,-18.33961,-21.60518,-21.60045,-19.36022,-22.12470,-21.76414,-22.46266,-27.46530,-35.58542,-37.33172,-41.66605,-46.85022,-56.58852
-51.10165,-44.81746,-37.84795,-31.56429,-28.49197,-26.74957,-28.54840,-23.54550,-28.42968,-29.97403,-30.89021,-24.78000,-18.85050,-18.09046,-23.09148,-22.57654,-21.70153,-23.84364,-22.65898,-23.10339,-23.51617,-24.44120,-28.73283,-36.40436,-38.69639,-43.95984,-48.71805,-58.46172
-53.85284,-48.06586,-40.97750,-34.31176,-30.20615,-26.77846,-28.86291,-24.39840,-26.31766,-28.39137,-28.66363,-30.94112,-25.44283,-21.16440,-21.25323,-25.46800,-25.01223,-24.63533,-24.21551,-23.49352,-25.43403,-26.32815,-31.47651,-37.86339,-39.92279,-44.42014,-50.25318,-59.85194
-53.51961,-47.86002,-41.59256,-35.51640,-32.26638,-30.10339,-29.93681,-29.01110,-24.37559,-27.79188,-24.69938,-25.46506,-29.54781,-26.65003,-23.05984,-24.10966,-25.85557,-26.78257,-22.57597,-27.79221,-27.85058,-28.91128,-33.93376,-40.57396,-42.26769,-46.50091,-52.36722,-62.12014
-54.37507,-50.61311,-43.78964,-36.77138,-32.30506,-30.72659,-32.28308,-26.84153,-29.53461,-27.64021,-27.73728,-26.15662,-27.99608,-29.95819,-27.94480,-26.58864,-25.00124,-27.99375,-28.71160,-26.06795,-27.33677,-30.53444,-34.25381,-40.60802,-43.51726,-49.24877,-53.96546,-63.78932
-55.86961,-53.11982,-47.17487,-39.90899,-34.48651,-31.95564,-33.73943,-31.22622,-30.60046,-26.79622,-26.29774,-28.56981,-28.28254,-29.33583,-31.38144,-27.45149,-28.66163,-28.91944,-30.50161,-31.09542,-29.76549,-31.43031,-36.48284,-42.00610,-46.14608,-50.43942,-55.28957,-65.32025
-52.02503,-51.50247,-49.55417,-43.50324,-37.69001,-35.75953,-35.92008,-33.44471,-31.33352,-31.91457,-28.45427,-29.62720,-31.22200,-34.63255,-29.62526,-33.45900,-32.35019,-29.86036,-26.52467,-28.17241,-31.14355,-33.52067,-37.57463,-45.00617,-48.03547,-52.45280,-57.60412,-67.20226
-60.04295,-60.52432,-60.57310,-53.47899,-43.30920,-39.05929,-36.93467,-33.79706,-35.69627,-33.66386,-34.29404,-31.35209,-32.91233,-33.94875,-36.52170,-40.87770,-37.46008,-34.11737,-31.08270,-30.84543,-37.26673,-36.76766,-40.38338,-48.28594,-51.92282,-57.25107,-62.31842,-71.75456
-67.33712,-66.27683,-63.59692,-58.66614,-50.10364,-44.13333,-41.96048,-37.74718,-40.03397,-37.39191,-36.39384,-36.38128,-35.25686,-39.06380,-41.96893,-42.67607,-44.28654,-39.45778,-35.31164,-35.58284,-42.58901,-39.02533,-43.89933,-54.38157,-56.42729,-63.50501,-69.14930,-79.03409
