Distancia,wide,low,high
1.5,0.006917308982722043,0.002694376427490306,0.002364012675681595
2.0,0.003836193496345975,0.0015606853970221715,0.0013200501553966015
2.5,0.002717274272842042,0.001101366852430424,0.0009710767446334341
3.3,0.0019102406270219232,0.000793959580472555,0.0006859380559338235
4.3,0.0014262513553832848,0.0006056428970095255,0.0004981418934629437
5.6,0.0011289025152212263,0.0005001780395667465,0.00039448678791794193
7.2,0.0007867423862882898,0.0003994353195566695,0.0002522483904444773
9.4,0.0007054865860459062,0.0003590019658931855,0.00020512828767540558
12.0,0.0005803016832668378,0.00030445194021510327,0.00016269042851769174
15.5,0.000459435324065895,0.000273024442839471,0.00010882769553416702
20.0,0.00038414507662736533,0.0002478440763825471,7.664496875334655e-05
26.0,0.000333928066721585,0.00021046469754322795,6.508566486595175e-05
