Distancia,wide,low,high
1.5,11.912756651269731,9.214859019573588,13.720427985336606
2.0,9.767157405886621,6.951362383659159,11.807262348426427
2.5,8.294412947816205,5.377472801815792,10.470206773264337
3.3,6.434285110153773,3.5615463400607297,8.55049497516108
4.3,5.162992605237434,1.8448950956233574,7.772638663896771
5.6,3.860271205366381,0.8348344676599737,6.227090128109978
7.2,2.1358833023553743,-1.0547220062604197,4.740421660601683
9.4,1.1515325661358986,-1.884734236235957,3.6421303194953083
12.0,-0.5972413363923863,-3.9191904861249753,2.0868396944525927
15.5,-1.4491804510082886,-4.1476875615239095,0.9293828130105339
20.0,-4.54471853718411,-7.452471208529346,-2.226380541476786
26.0,-7.323158223711545,-10.503408110468285,-4.578257015154094
